Title,Title_URL,Image,bigqs_URL,bigqs,bigqs1,iugum,bigqs2,rpecd,jguwg_spancontainsclass_ycete,bigqs3,bigqs4
,,,,,"Dublin, Ireland",66 contributions,0,Aug 2016 • Couples,Myself and the Boyfriend travel with IrishRail 3times a year and to be honest we wouldn't go anywhere else the train is so comfortable and the staff are always welcoming ,Written 28 August 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin,",1 contribution,0,Aug 2016 • Couples,"Went 1st class on the enterprize from Dublin to Belfast on 10am service. Only one Toilet working and no toilet paper. Wifi not working, they did announce this about an hour into the trip.No in seat music as advertised. Names not over seats we had booked.No free newspaper.Really poor service. Should have gone by Bus or car",Written 23 August 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,72 contributions,,1,Aug 2016 • Solo,"So u might get to think to book a seat means u get a seat- not the case
I don't blame the staff! It's the travellers!! The ignorance!!
And if u get a seat- u might loose it again due to pushing and shoving or just noise!!
U pay high price!
maybe Irish rail- who know the Dublin to cork (which drops to Limerick) train on a Friday evening is going to be overflowing put on an extra carriage?? It's just crazy and waiting for an accident!!

Toilet are poor and u get thrown around the place anyway!! Just go before u get on!!

My advise to all travellers - take the bus- it's half the price- ur sure to get a seat, bring ur own packed lunch- food on the train is overpriced and yuck anyway!! The bus stops packing people on when they don't have any seats, bags are stored under
On the bus u won't have a pub- but I think u can manage that for a few hours!! And u avoid the ignorance of other drunk individuals!!
For better company and peace and quite
Switch of get some shut eye

Get the bus!!",Written 18 August 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",30 contributions,1,Aug 2016 • Solo,"Quite apart from a booking system which amounts to idenity grabbing and makes buying a ticket online wholly unpalatable, the train experince itself is nothing short of GRIM.  The carriages are inadequare the number of passengers with many elderly persons standing for up to a hour in crowded corridors.  While I though he coffee form the miserable and overpriced trolly service was pretty unbeatably bad, the train iself surpassed all expectation in the filth department.  The current CEO of Irrish Rail is  I understand a David Franks and frankly he deserves to be sacked for standing over this level of service to a paying public. It is unacceptable above all ina country that claims to be striving for tourism excellence. The whole board of iarnrod should stand  down.  If anybody cares to dispute the facts of my review, they can contact me directly at colm@gmx.com...my date of travel was 8 August 2016 Westport to Dublin train at 09.45",Written 9 August 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Tralee, Ireland",267 contributions,0,Aug 2016 • Friends,"Got the train from heuston Dublin to Tralee after traveling around Africa for a month. The train left on time and arrived into Tralee on time. The staff were very nice and friendly, especially Rodney! The train was very modern and really comfortable. Would definitely recommend traveling with Irish Rail. ",Written 4 August 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",16 contributions,0,Aug 2016 • Business,"I took a trip to Northern Ireland on the Enterprise. Excellent service, I had to make a connection at Portadown-ran like clockwork! On the way back I had the unfortunate experience of ordering a coffee. It was unbelievable, how anyone can mix coffee and water and make a mess of it I don't know. This was compliments of Corporate Catering. The poor guy who served this said it was nothing to do with him!!!! Honest to God you think Corporate Catering would be ashamed to serve this. It was served in a  cup advertising Java Republic. So Java Republic take note! I had tea on the way up - it was drinkable but stay away from the coffee!",Written 3 August 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,New Jersey,"6,523 contributions",1,Aug 2016 • Couples,We had a very easy experience with Irish Rail from picking up the tickets to the actual ride. The staff was helpful in all respects and the train was clean with enough legroom. It made our trip from Dublin to Cork easy.,Written 3 August 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,27 contributions,,0,Jul 2016 • Family,We traveled from Galway to Dublin and back. It was a comfortable ride and we enjoyed having a dining table. After several days of driving this was a welcome change and we saw more of the beautiful country. ,Written 31 July 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Navan, Ireland",24 contributions,0,Jul 2016 • Solo,"I travelled from Dublin Heuston to Galway for my holidays and the outbound was on time however the return trip was 17mins late. Many passengers were angry and no sufficient information was provided. The audio speakers in Galway station was not helpful because you cant understand what the announcer was announcing and you could hear people saying ""what was that?""",Written 26 July 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,10 contributions,,0,Jul 2016 • Business,"I travel with Irish Rail regularly (at least once a week) and generally the service is very good and very reliable. The Rail Gourmet catering service however doesn't provide any options* for people with the most common food allergies (gluten, wheat, egg, dairy) nor does it provide written allergy information on its menu. There is nothing on its menu that I can eat for example which is a problem on longer journeys. I don't post negative reviews unless I've contacted the company and given them a chance to respond, but I've had no response to my queries when I contacted them.

* the exception is one 'gluten free cookie' that has dairy/egg ingredients.",Written 15 July 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Noosa Heads, Australia",279 contributions,0,Jul 2016 • Solo,"As I write this I'm on board train (free wifi) headed from Dublin to Killarney.
I caught local bus €2 to reach station. I purchased my ticket at counter & was offered open return ticket for a budget price. Had I booked on line my ticket would have been cheaper- I know for next time!
Dining car at rear of train & trolley service to seat as well. All stops announced in English & Irish.
NB: all transport used was luggage friendly!
Excellent way to travel & see countryside at same time! Highly recommended!",Written 13 July 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,14 contributions,,1,Jul 2016 • Couples,"Is there much point in a reservation system if no one is going to reserve the seats? Twice I've traveled on the enterprise from Dublin and both times someone has been in the seat I reserved. I thought now that they've revamped the trains and claim to have the names above the seats, the issues might be resolved bit no. ",Written 12 July 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Vienna, Austria",2 contributions,0,Jun 2016 • Family,"A nice scenic ride from Dublin to Killarney (still on the train). Due to a misunderstanding at the travel agency we ended up taking (and paying for!) first class. We were at least happy to see that we would get a complimentary coffee or tea. Happy until we were charged approx. 15 euros for the coffee!

When asked why it's not free as advertised the employee said it was a mistake on the part of the company and then made us pay anyways. I would expect a known mistake to either be honored or fixed. As you can see on the picture, it seems pretty clear.

Recommendation to travelers: Confirm prices before you order, because if Irish Rail has made a mistake, apparently you'll have to pay for it!

Recommendation to Irish Rail: Please fix mistakes or honor them! A black marker or some tape and the problem would be solved...",Written 28 June 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Atlanta, GA",31 contributions,0,May 2016 • Couples,"My husband and I were on the fence about renting a car to drive from Dublin to Galway, Galway to Killarney, then Killarney to Dublin to catch a flight on to Scotland. We also knew we didn't want to do a big group bus tour and that hiring a personal driver would be quite expensive for four days.

We worked out a cost comparison of renting a car for four days versus taking the Irish Rail + taxis + a full day tour to Dingle (Dublin airport Uber to Hueston en route to Galway, local Killarney taxis to B&B and up to Tralee, a full day tour out to Dingle with Mór Active Tours in Kilarney)... and it netted out to be the same amount! Everything worked with our schedules, too, such that taking the trains took only a little more time (or the same amount of time) as driving would have taken. Plus, no traffic jams!

We loved that Irish Rail offered free and reliable wi-fi on all but one train, coffee and bar service, snacks on the longer hauls (Dublin to Galway), and we had no troubles on the smaller train connections (EG Galway to Killarney by way of Ennis/Shannon). All of our trains were on time the entire trip, and connections were a breeze (even with flooding over the rail outside of Ennis! Irish Rail put the whole train on a bus to the connecting station and we remained right on time).

If ever in doubt about which platform or train we needed to be on, we asked a friendly fellow passenger. Lots of locals take the train for bank holidays and to visit family, travel for work. All sign boards and announcements were spoken/printed in both English and Gaelic.

Train cars were tidy and comfortable – the larger trains allowed you to reserve seats in advance, and you could have seats facing one another with a table in between the seats to do work or have a meal.

One big bonus: The rail lines were built a century ago, so the great majority of our travel was spent looking at the beautiful Irish countryside – paddocks of sheep and horses and ancient castles – instead of looking at a freeway. There are also bathrooms on board!

Loved our Iarnród Éireann experience. Can't wait to go back!",Written 20 June 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Oakville, Canada",413 contributions,0,May 2016 • Couples,"Even with track maintenance causing our first leg to be by bus, the trip was executed as smooth as could be.  We travelled first class and would recommend it for the modern car with comfortable adjustable seats and friendly/efficient table service, although you do still have to pay for food and drinks.",Written 12 June 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",1 contribution,0,Jun 2016,"Just on the train now on the way to Kilkenny for the weekend. On arrival to Heuston collected our tickets and went to get on board the train, want to say how helpful and friendly the attendant on board the train name was Marcin, very rarely get this much of a good service, explained to us were our seats were and was extremely helpful! ",Written 4 June 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Camas, WA",401 contributions,0,May 2016 • Couples,"Definitely get tickets online beforehand, it is easier and less expensive! Be sure to go to the ""pay and display"" to get real tickets. We had the printed out tickets from online, but needed the paper tickets from the station. We missed this step, but with documentation and some explanation to the conductor (train had left the station), all was ok. Our hotel told us that the station was unattended and to proceed with just the print out of our online tickets.

Staff very helpful, comfortable. Seats very comfortable. Recommend bring snacks. Our trip from Rosslare was about 4 hours.

Would have been nice to have the procedure for online tickets with big signs posted at the station for foreigners like us who haven't used the train there before! seating areas comfortable and free Internet was great. We had our suitcases and bags with us, and was no problem. Luggage racks available, accessible and convenient.

At the terminal, you pay or show your online receipt. We got on the train, then later, the conductor asked for the paper tickets, as above. The train stations were clean, well marked and we easily navigated once in the system. Taxis were waiting outside the station to take us to the airport to pick up our rental car!

Hard to get a rental car from England to Ireland Republic. We left our rental car at Europcar in Wales, took a taxi to the nearby terminal. One in Ireland, we took the train to Dublin to get another rental car. Couldn't find a rental car to pick up at the ferry and then return to the Dublin airport at the end of the trip! Taking the Irish rail to Dublin to collect the rental car was a good experience anyway! :)",Written 3 June 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,407 contributions,,2,May 2016 • Friends,"Despite arriving early for the Dublin to Belfast train, an opportunistic family had planted their bratty children in our reserved seats and brassily refused to budge them. 4 disgruntled and travel-weary women approached train manager Robbie McKeown with confidence, hoping for quick, painless action. Initially he was absolutely rude and unhelpful; tried to imply it was our own fault and that he could do nothing. With pleasant but persistent dissatisfaction from all of us, Robbie eventually placed us in first class where we had a fantastic time! Lovely first class carriage with great service, and yes Robbie came through in the end, but the disorganisation of not labelling tables and the subsequent apathy and arrogance of the train manager aren't acceptable. For shame Irish Rail! ",Written 31 May 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Oviedo, FL",44 contributions,0,May 2016 • Friends,My friend and I took the train from Westport to Dublin Heuston.  We were not sure what to expect (especially after both being used to trains in the U.S. that are not the smoothest ride or cleanest).  We were delighted to see the train was immaculate!  Staff was very friendly.  Tickets were easy to purchase on line and then used the kiosk to print our tickets at the station in Westport.  The ride itself was really smooth and was very comfortable.  We had a table with 4 seats.  Views along the trip was amazing!  It was really nice to sit back and enjoy the country side.  There was a food and beverage cart that was pushed from car to car.  It had a variety of snacks and beverages.  Only came around once during our trip so if you're really hungry buy enough for the whole ride when the cart comes around the first time.  Free WIFI service was provided.  A really great experience and got us to Dublin in time.  Taxi service was available once we got to Dublin and was  short ride to all the attractions and hotels.   Would definitely use the train service again to visit other areas of Ireland.,Written 23 May 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,Sligo,157 contributions,0,May 2016 • Business,"I have used Irish Rail on a number of occasions on the Sligo to Dublin line. The trains are on time and comfortable with a trolley service for food. Booked tickets ""on Line"", one week in advance. Tickets from Sligo was €14.99 (11am train) and return was €25.49 (19.05) Irish rail could look at better offers on the return especially as it was booked well in advance and the return train was not too busy.",Written 20 May 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dublin, Ireland",311 contributions,0,May 2016 • Friends,Four of us travelled to see the titanic experience in Belfast. We used the 7.35 to Belfast from Connolly and travelled first class. What a really pleasant experience. Really comfortable seats in a spotlessly clean carriage. Excellent staff all in a good livery provided a great service all the way. Breakfast was excellent. We used the enterprise at 6.05 back to Dublin that evening and once again we had super service from really friendly staff. The enterprise is a credit to cie and Northern Ireland railways.  A great way to travel and a really good experience. ,Written 12 May 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Accra, Ghana",125 contributions,0,Apr 2016 • Solo,Departed on the minute and arrived more or less on time. Good Wifi and smooth ride. Hueston Station is a short taxi ride to all attractions in Dublin.,Written 10 May 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Scottsdale, AZ",825 contributions,0,Apr 2016 • Friends,This is an easy way to travel around the country and not have the expense of a rental car.  They board about 15 minutes before departure and you save money if you book online.  Your ticket is round trip so keep the ticket you get on your outbound because you have to buy an entire new one if you lose it ,Written 29 April 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,Tallaght,71 contributions,0,Apr 2016 • Solo,Train very comfortable and in time. Had a nice journey to Kilkenny. Staff on the railstation very nice and gave me all informations I needed.Price a bit to expensive.,Written 24 April 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Banning, CA","15,301 contributions",0,Apr 2016 • Couples,"Stumbled on how to do this. Ticket office on left side (facing trains) person was helpful. Large Sign in main terminal that has a status board for the train and rail number.

We were waiting when we saw rail number appear and the race for a seat was on. On Sunday lots of people going home. The turtle is to slow. Now people wandering looking for a seat

Free WIFI and 220 at seat",Written 24 April 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Phnom Penh, Cambodia",88 contributions,0,Feb 2016 • Solo,"Reserved 4 seats to Killarney, couldn't tell which car was ours, no one was available to ask. Cars not not marked. Someone was in our reserved seats, wouldn't get out.  No verbal announcements of stops, no garbage cans. Train ended 2 stops early, no announcement of that.  Very sloppily run!Only worse train I've ever been on was India",Written 19 February 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Drogheda, Ireland",19 contributions,1,Feb 2016 • Solo,Over priced and never on time and over crowed at rush hour - if your planning a trip to Dublin but staying outside the city. Get the bus it more often it's cheaper and its on time - I use Irish rail for my everyday commute and its a joke,Written 12 February 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Dunton Green, UK",860 contributions,0,Feb 2016 • Couples,2 hours of Irish countryside in a comfortable seat with attentive staff and a trolley service. Well worth it.,Written 10 February 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Cork, Ireland",2 contributions,0,Jan 2016 • Friends,"I travelled on the 15.07 train from Mallow to Cork on Sunday 17/1/16.I purchased a student return ticket for 12.50euro.When asked by the ticket inspector on board for my student card I realised I didn't  have it in my wallet,I apologised and said I would pay the difference for full fare of 5.50euro(full fare 18.00)however the inspector became very rude and abusive,saying it was an offence and I was trying to catch the company,this was  just an oversight on my part and again I offered to pay but she was having none of it and gave me a fine for 110.00euro.Bus from now on. Eryn",Written 20 January 2016,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Berlin, Germany",5 contributions,1,Dec 2015 • Business,"Spent hours trying to book a return ticket from Dublin to Killarney, not exactly rocket science! Had to give up eventually. Have booked train and plane tickets all over Europe and North America but never encountered a more difficult site to navigate. Rented a car instead - much simpler! ",Written 28 December 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Wexford, Ireland",34 contributions,1,Dec 2015 • Solo,"I travelled on the 16.37 train from Dublin Connolly to Rosslare Europort  on Wednesday 16th. Dec. I can only describe the journey as sickening . The diesel fumes entering the carriages (all of them), as I moved around trying to escape them is totally unacceptable in this era of modern transport. I had a thumping headache by the time I arrived in Rosslare.It seems to me that this particular engine is well past its sell by date.",Written 17 December 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Belfast, UK",34 contributions,0,Dec 2015 • Couples,"Spent a very long time trying to navigate Irish Rails website trying to book tickets. No mention of Seniors, no mention about using a Travel Pass. Their site reads very well, but the experience is disappointing. We paid over €70 for 2 singles to Dublin by pre booking (which they suggest as a way to save money). Had we waited and gone to the ticket office, shown are travel passes we would have travelled FREE! Like other contributors - there was no wifi available nor was any interest shown by the one member of staff we managed to see. The girl with the refreshment cart was the most helpful. So if you have a Travel Pass, don't bother with their difficult web page, go to the station ticket office and speak to them. It only means filling in a very simple form to avoid paying!",Written 1 December 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,9 contributions,,0,Nov 2015 • Friends,"I travel regularly on Irish rail. They offer a reasonable service, however the wifi is pretty much non-existent. Also more often than not they don't put up the names on the pre-booked seats so you sit down in what you think you think are free seats only to be moved later. Also there is often a delay in putting up the platform the train is leaving from in Heuston, which is unfair on older people who come to the station early to ensure they have a seat and then have to rush to the train at the last minute when the platform is finally put up. Student tickets are overpriced for the service provided. Also the items from the trolley are quite pricey.",Written 13 November 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Delray Beach, FL",308 contributions,0,Sep 2015 • Couples,The train station in Dublin is clean and easy to maneuver through.  The trains running in/out of it are on time and reasonably clean.  You can easily get from one major city to another within Ireland very inexpensively.,Written 20 October 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"St. John's, Canada",369 contributions,0,Oct 2015 • Friends,"We used Irish Rail to go from Dublin to Galway, from Galway to Tralee and the Dingle Penninsula, to Cork and back to Dublin.
The trains we were on were all modern, clean and the process very efficient. Everyone we connected iwht the stations couldn't do enough to ensure our trips went well. It was a real pleasure to travel with them.
Make sure you book on their website at least a day or so ahead to get the best rates. Take your confirmation number to the station to get your ticket.",Written 20 October 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Port of Spain, Trinidad","4,837 contributions",0,Oct 2015 • Couples,"Used the rail to go to Howth. It was punctual. Clean and a the ride was quite smooth and comfortable.

This is a good reasonable of transport in Dublin",Written 18 October 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,Chicago,14 contributions,0,Oct 2015 • Couples,"Train from Galway to Dublin extremely filthy and we were in first class.  Arriving on train from Galway, seats had food crumbs all over, tables were dirty and floor looked like it hasn't been vacuumed in years.  And like I said this is first class.  A disappointment.  Never got on a train in England dirty like this.  Be prepared to Clean your seats and table.  Train station also not clean. Took a look at the rest of the train.  It's worse. Comfortable ride, just dirty.  Worker on train didn't seem happy either.",Written 11 October 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,26 contributions,,0,Oct 2015 • Solo,"Flew into Dublin, bus to Heuston Dublin station. The train was nice, had bathrooms, a small galley, and comfortable seats. If you book online, make sure you have your confirmation number, or go see the ticket booth for help.

The station has plenty of options for food, coffee, etc.",Written 6 October 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Stevenage, UK","2,618 contributions",0,Sep 2015 • Solo,"Whilst I was in Ireland I travelled from Cork to Dublin.

I booked my ticket on the internet in advance and reserved a seat. When I arrived at the station I typed in my booking reference on one of the ticket machines and this printed out my ticket including reservation.

When I got on the train my seat had my name above it on the digital display which was cool. The train also had wifi so I could use my phone throughout my journey although they ask that you don't stream.

The trains are quite modern and the journey was very smooth. On the positive we arrived 5 minutes early. RESULT!",Written 30 September 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Cherry Hill, NJ",49 contributions,0,Sep 2015 • Couples,"We did a Rail Ireland trip out to the Southwest of Ireland--Cork/Blarney Castle, Ring of Kerry & Cliff's of Moher. You ride out to the starting point then travel via coach and train to various sites. The rail travel was great, nice and smooth--you get to see all of the scenery along the way--amazing all the cows they have wandering around the countryside, freely grazing. Blarney Castle is more special than we imagined--castle itself is great--it's a climb up to the Blarney Stone, but worth it if you don't mind some narrow windy stone steps. Ring of Kerry is a special natural treat--you see bigger mountains than you'd expect on your left and bays/the ocean on your right. And the Cliffs of Moher are spectacular. They fill the days with other worthwhile sites (the sheep dog guy on the Cliffs of Moher day was great). All very well done. Our guide was great.
Interesting note--you can piece these tours together in different ways--they have trips leaving for different day trips everyday and you can connect with other trips at various points along the way--we had some people doing just one day, some going for more days, some who joined us on the second or third day who might be going for any length after that. Interesting and different--more good than bad, just a little unusual.
Here's a tip. We did this the day after we arrived in Dublin--mistake--you start bright and early (7:00) and you have to get there early and train station is a ride from downtown. Do it after settling in, seeing Dublin and checking out the Guinness tour (a pure can't miss right there).",Written 28 September 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Navan, Ireland",10 contributions,0,Sep 2015 • Solo,"I got a train with irish rail and he station staff in heuston station were excellent. The bar staff were friendly and the ticketin staff were really nice when i had to change my reservation. Was a great start to my weekend.
Well done staff of heuston station",Written 25 September 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Rifle, CO",124 contributions,0,Aug 2015 • Couples,"Irish rail is very functional, and a great and novel way to get around in Ireland.  The online booking is great, and the ride is comfortable.",Written 9 September 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Tampa, FL",134 contributions,0,Aug 2015 • Solo,"Very relaxing ride and informative day trip down to Waterford and Kilkenny. Wished we had been able to go slower to visit some of the shops. But as all tours are on a timetable as your guide, at least Liam was. He was always a step ahead of us,  had taxies for a gentleman in our group who was in a wheelchair, shuttle to give us a tour in town, reservations for lunch and reservations for us on the express train going back into Dublin. Well worth the money.",Written 1 September 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"Vancouver, Canada",19 contributions,0,Aug 2015 • Couples,"During our two week vacation we took two trains. The first was from Dublin to Cork. We rented a car to drive around the southwest coast north to Galway. At the close of our vacation we took a train from Galway to Dublin.
Excellent service is what we found. Pre booked our tickets from Canada and was too easy to print. If a negative, it wiki be that in both instances on our travel there was people sitting in our seats. I suppose people aren't just to checking whether the seats are pre booked.
Information personnel was present to answer questions we had. In one instance we thought of changing our booking and the clerk informed us of the extra charge of 10 euros.
Trains left on time and arranged on time",Written 30 August 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,"St. Petersburg, FL",8 contributions,0,Aug 2015 • Friends,"The rail service was very convenient for what I needed. Always on time, good prices, spacious and comfortable seating. Even the bathrooms were clean and large. Only complaint is that the windows could be cleaned more often as I never saw a clean one. I would definitely suggest booking online as one fare more than tripled when purchased day of. I learned my lesson quick and pre booked every trip thereafter and it ended up being more convenient and so much cheaper. I think this is a great system and would utilize it as often as possible. ",Written 30 August 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
,,,,,2 contributions,,0,Aug 2015 • Couples,"Last week I had to take a train back to Dublin from Galway Train Station ..appalling service at that station .. No one working at the ticket desk , no personnel to help with luggage or anything else .. ALSO .. If you are planning to travel to or from Galway by Train ....And plan to book the train tickets online from Irish Rail ....... This FACT is something that is not really stressed  ... BUT the ACTUAL PHYSICAL TICKET  you get for the outgoing portion of a RETURN  JOURNEY  must be kept and produced for the return  journey ... Even if it is a month later !!!!We had to pay the return portion again because we did not keep the original ticket .. Even though I had the reservation number and confirmation info on mt smart phone to show them !!! And the ticket is way more expensive than on line ..Ridiculous service ... DEFINATELY Take a bus .. It is Easier , better and cheaper !!!",Written 10 August 2015,This review is the subjective opinion of a Tripadvisor member and not of Tripadvisor LLC. Tripadvisor performs checks on reviews as part of our industry-leading trust & safety standards. Read our transparency report to learn more.
